"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"306102460","101","QUEENS","07/21/2023","09:00:00","07/21/2023","10:00:00","COMPLETED","(null)","73343","2","N.Y. HOUSING POLICE","106","FELONY","INSIDE","FELONY ASSAULT","(null)","PATROL BORO QUEENS SOUTH","105","STRANGULATION 1ST","RESIDENCE - PUBLIC HOUSING","05/08/2025","(null)","45-64","BLACK","U",,"25-44","BLACK","F","1044121","155673","40.59377","-73.784419","(40.59377, -73.784419)","POINT (-73.784419 40.59377)"
"305431101","9","MANHATTAN","07/22/2023","12:00:00","07/22/2023","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","359","MISDEMEANOR","INSIDE","OFFENSES AGAINST PUBLIC ADMINI","(null)","PATROL BORO MAN SOUTH","748","CONTEMPT,CRIMINAL","COLLEGE/UNIVERSITY","04/27/2025","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"UNKNOWN","UNKNOWN","E","987272","206095","40.732368","-73.989095","(40.732368, -73.989095)","POINT (-73.989095 40.732368)"
"300073588","46","BRONX","07/22/2023","19:00:00","07/22/2023","19:05:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","344","MISDEMEANOR","(null)","ASSAULT 3 & RELATED OFFENSES","(null)","PATROL BORO BRONX","101","ASSAULT 3","RESIDENCE - APT. HOUSE","01/20/2025","(null)","25-44","UNKNOWN","F",,"45-64","BLACK HISPANIC","F","1010930","248208","40.84790833285","-73.90356589083","(40.847908332850054, -73.90356589082609)","POINT (-73.90356589082609 40.847908332850054)"
"310269801","42","BRONX","07/22/2023","21:30:00","07/25/2025","07:20:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO BRONX","339","LARCENY,PETIT FROM OPEN AREAS,","STREET","07/25/2025","(null)","(null)","(null)","(null)",,"45-64","BLACK","F","1014166","240838","40.827679","-73.891903","(40.827679, -73.891903)","POINT (-73.891903 40.827679)"
"310121542","120","STATEN ISLAND","07/23/2023","17:40:00","07/23/2025","17:50:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","347","MISDEMEANOR","FRONT OF","INTOXICATED & IMPAIRED DRIVING","(null)","PATROL BORO STATEN ISLAND","905","INTOXICATED DRIVING,ALCOHOL","RESIDENCE-HOUSE","07/23/2025","(null)","25-44","WHITE HISPANIC","M",,"UNKNOWN","UNKNOWN","E","963661","165440","40.620757","-74.074164","(40.620757, -74.074164)","POINT (-74.074164 40.620757)"
"299013848","84","BROOKLYN","07/23/2023","15:00:00","07/23/2023","15:03:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","01/06/2025","(null)","45-64","BLACK","M",,"25-44","BLACK","F","988902","192641","40.69543880812","-73.9832253756","(40.6954388081238, -73.9832253756043)","POINT (-73.9832253756043 40.6954388081238)"
"310260962","81","BROOKLYN","07/23/2023","13:30:00","07/23/2023","14:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","116","FELONY","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","596","OBSCENE MATERIAL - UNDER 17 YE","RESIDENCE - APT. HOUSE","07/26/2025","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"UNKNOWN","UNKNOWN","E","1005319","190473","40.68946429526","-73.92402908995","(40.6894642952604, -73.9240290899499)","POINT (-73.9240290899499 40.6894642952604)"
"300518582","115","QUEENS","07/23/2023","10:00:00","07/23/2023","10:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","351","MISDEMEANOR","INSIDE","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO QUEENS NORTH","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","RESIDENCE - APT. HOUSE","02/04/2025","(null)","45-64","WHITE HISPANIC","M",,"25-44","WHITE HISPANIC","F","1014151","214701","40.75594","-73.892072","(40.75594, -73.892072)","POINT (-73.892072 40.75594)"
"310507324","115","QUEENS","07/23/2023","21:00:00","07/28/2025","08:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","(null)","PETIT LARCENY","(null)","PATROL BORO QUEENS NORTH","357","LARCENY,PETIT OF VEHICLE ACCES","STREET","07/31/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","ASIAN / PACIFIC ISLANDER","F","1022362","216468","40.76074893","-73.86242548","(40.76074893, -73.86242548)","POINT (-73.86242548 40.76074893)"
"308681844","28","MANHATTAN","07/24/2023","00:00:00","05/15/2025","14:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN NORTH","420","LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","06/26/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE","F","998811","233547","40.807706","-73.947399","(40.807706, -73.947399)","POINT (-73.947399 40.807706)"
"311648198","78","BROOKLYN","07/25/2023","11:40:00","08/20/2025","12:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","FRONT OF","HARRASSMENT 2","(null)","PATROL BORO BKLYN SOUTH","638","HARASSMENT,SUBD 3,4,5","HOSPITAL","08/20/2025","(null)","UNKNOWN","ASIAN / PACIFIC ISLANDER","F",,"45-64","ASIAN / PACIFIC ISLANDER","F","990105","182697","40.668146","-73.978894","(40.668146, -73.978894)","POINT (-73.978894 40.668146)"
"301919533","75","BROOKLYN","07/27/2023","00:00:00","07/27/2023","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BKLYN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","03/01/2025","(null)","(null)","(null)","(null)",,"45-64","BLACK HISPANIC","F","1017931","188785","40.684793","-73.878557","(40.684793, -73.878557)","POINT (-73.878557 40.684793)"
"301667514","14","MANHATTAN","07/28/2023","13:00:00","11/30/2024","13:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN SOUTH","437","LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT","COMMERCIAL BUILDING","02/25/2025","(null)","45-64","WHITE","M",,"UNKNOWN","UNKNOWN","D","988840","213570","40.752884","-73.983434","(40.752884, -73.983434)","POINT (-73.983434 40.752884)"
"304796445","120","STATEN ISLAND","07/29/2023","19:00:00","07/29/2023","19:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO STATEN ISLAND","639","AGGRAVATED HARASSMENT 2","RESIDENCE-HOUSE","04/15/2025","(null)","(null)","(null)","(null)",,"25-44","WHITE","F","965547","162785","40.613474","-74.067363","(40.613474, -74.067363)","POINT (-74.067363 40.613474)"
"299442912","115","QUEENS","07/30/2023","00:00:00","07/30/2023","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO QUEENS NORTH","639","AGGRAVATED HARASSMENT 2","RESTAURANT/DINER","01/14/2025","(null)","45-64","WHITE HISPANIC","M",,"45-64","UNKNOWN","F","1016137","214585","40.755615","-73.884905","(40.755615, -73.884905)","POINT (-73.884905 40.755615)"
"302079984","48","BRONX","07/31/2023","11:30:00","07/31/2023","13:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BRONX","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","03/05/2025","(null)","25-44","BLACK HISPANIC","M",,"45-64","WHITE","M","1016833","251767","40.857667","-73.882211","(40.857667, -73.882211)","POINT (-73.882211 40.857667)"
"300344643","43","BRONX","07/31/2023","00:01:00","01/16/2025","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO BRONX","649","FALSE REPORT UNCLASSIFIED","RESIDENCE - APT. HOUSE","01/31/2025","(null)","18-24","UNKNOWN","F",,"UNKNOWN","UNKNOWN","E","1020880","236792","40.81655","-73.867665","(40.81655, -73.867665)","POINT (-73.867665 40.81655)"
